"","word","freq"
"dukungan","dukungan",1
"hahahaha","hahahaha",1
"kampret","kampret",1
"nikmati","nikmati",1
"udah","udah",1
"bro","bro",1
"musrenbangdes","musrenbangdes",1
"salahsatu","salahsatu",1
"tahapan","tahapan",1
"dinegeri","dinegeri",1
"pakpresidenku","pakpresidenku",1
"prnah","prnah",1
"supertdk","supertdk",1
"tlh","tlh",1
"trjdi","trjdi",1
"kena","kena",1
"malas","malas",1
"penilain<U+00A0>kinerja","penilain<U+00A0>kinerja",1
"pns","pns",1
"sangsi","sangsi",1
"terbitkan","terbitkan",1
"airlines","airlines",1
"garuda","garuda",1
"membedakan","membedakan",1
"menyema","menyema",1
"pribadi","pribadi",1
"sulit","sulit",1
"keluarkan","keluarkan",1
"lipi","lipi",1
"pegawai","pegawai",1
"perpres","perpres",1
"tunjangan","tunjangan",1
"forum","forum",1
"lihat","lihat",1
"mengundurkan","mengundurkan",1
"pemimpinnya","pemimpinnya",1
"saran","saran",1
"dlm","dlm",1
"ibukota","ibukota",1
"jam","jam",1
"jayapura","jayapura",1
"listrik","listrik",1
"malam","malam",1
"mati","mati",1
"pagi","pagi",1
"provinsi","provinsi",1
"utara","utara",1
"yth","yth",1
"bangun","bangun",1
"daerah","daerah",1
"keren","keren",1
"mending","mending",1
"menghargai","menghargai",1
"sehat","sehat",1
"kecuali","kecuali",1
"nunggu","nunggu",1
"parpol","parpol",1
"pdhl","pdhl",1
"pendukung","pendukung",1
"pks","pks",1
"skg","skg",1
"undangan","undangan",1
"anggota","anggota",1
"dpr","dpr",1
"asing","asing",1
"diulas","diulas",1
"japan","japan",1
"media","media",1
"new","new",1
"sorotan","sorotan",1
"york","york",1
"bandara","bandara",1
"kek","kek",1
"pariwisata","pariwisata",1
"perluasan","perluasan",1
"pulisan","pulisan",1
"ratulangi","ratulangi",1
"sam","sam",1
"tanjung","tanjung",1
"tinjau","tinjau",1
"tumbuh","tumbuh",1
"beliau","beliau",1
"duhhh","duhhh",1
"gemes","gemes",1
"hobby","hobby",1
"menikmati","menikmati",1
"mulutnya","mulutnya",1
"nyinyirin","nyinyirin",1
"pengen","pengen",1
"porstex","porstex",1
"suka","suka",1
"tuangin","tuangin",1
"airlangga","airlangga",1
"lodewijk","lodewijk",1
"negatif","negatif",1
"pertemuan","pertemuan",1
"terbantahkan","terbantahkan",1
"avtur","avtur",1
"mahal","mahal",1
"murah","murah",1
"perhubung","perhubung",1
"pesawat","pesawat",1
"sma","sma",1
"tiket","tiket",1
"gugatan","gugatan",1
"kpu","kpu",1
"menolak","menolak",1
"pemenang","pemenang",1
"beratnya","beratnya",1
"blm","blm",1
"menkritik","menkritik",1
"presidennya","presidennya",1
"tugas","tugas",1
"baguspresiden","baguspresiden",1
"taukarna","taukarna",1
"tkd","tkd",1
"tkn","tkn",1
"idah","idah",1
"syahidah<U+00A0>dkk","syahidah<U+00A0>dkk",1
"alhamdulillahselamat","alhamdulillahselamat",1
"lokal","lokal",1
"mendampingi","mendampingi",1
"pendamping","pendamping",1
"kampan","kampan",1
"wkt","wkt",1
"bapakku","bapakku",1
"percaya","percaya",1
"tolong","tolong",1
"assalamualaikum","assalamualaikum",1
"acara","acara",1
"kpad","kpad",1
"lembaga","lembaga",1
"progress","progress",1
"sidang","sidang",1
"tahunan","tahunan",1
"tuh","tuh",1
"bertemu","bertemu",1
"perang","perang",1
"siapkan","siapkan",1
"uda","uda",1
"utkmen","utkmen",1
"bangga","bangga",1
"bless","bless",1
"god","god",1
"uufefufduffufeeufe","uufefufduffufeeufe",1
"ayo","ayo",1
"mengawasi","mengawasi",1
"datangperjuangan","datangperjuangan",1
"kyai","kyai",1
"era","era",1
"kpd","kpd",1
"pengelolah","pengelolah",1
"kinerj","kinerj",1
"bpjokowi","bpjokowi",1
"bagus","bagus",1
"direvisi","direvisi",1
"jokowilagi","jokowilagi",1
"kaan","kaan",1
"badai","badai",1
"maju","maju",1
"maluku","maluku",1
"mendukung","mendukung",1
"menerpa","menerpa",1
"uffuff","uffuff",1
"bahas","bahas",1
"dikritisi","dikritisi",1
"kenyataan","kenyataan",1
"pemilu","pemilu",1
"terima","terima",1
"capresnyajokowi","capresnyajokowi",1
"iklas","iklas",1
"kekalahan","kekalahan",1
"loh","loh",1
"nerima","nerima",1
"pengal","pengal",1
"diraih","diraih",1
"tertutup","tertutup",1
"bersatutinggal","bersatutinggal",1
"indonesias","indonesias",1
"searahtenang","searahtenang",1
"segelintir","segelintir",1
"bikin","bikin",1
"ditawari","ditawari",1
"mmg","mmg",1
"rusuh","rusuh",1
"rekonsiliasi","rekonsiliasi",1
"teta","teta",1
"baiksemua","baiksemua",1
"burukoh","burukoh",1
"merekabegitu","merekabegitu",1
"berdoa","berdoa",1
"citac","citac",1
"harap","harap",1
"jokowikiai","jokowikiai",1
"kemajuan","kemajuan",1
"perubahan","perubahan",1
"sukses","sukses",1
"bergabung","bergabung",1
"kecewa","kecewa",1
"pemerintahpemerintahan","pemerintahpemerintahan",1
"salahuddin","salahuddin",1
"sandiaga","sandiaga",1
"uno","uno",1
"dala","dala",1
"sdm","sdm",1
"tertuang","tertuang",1
"anugerah","anugerah",1
"bonus","bonus",1
"demografi","demografi",1
"mencapai","mencapai",1
"puncaknya","puncaknya",1
"berharap","berharap",1
"kolaborasi","kolaborasi",1
"luas","luas",1
"membuka","membuka",1
"oce","oce",1
"peluang","peluang",1
